Well plate	ID_sample	FullIDOld	Site	Sector	PlantOld	Leaf	Succession	PitcherLength	KeelWidth	PitcherWidth	MouthWidth	Comments	FreshMass	DryMass
B11	126	LM-4-9D-5-L	LM	4	9D	5	L	8.3	2.8	2.1	1.27		0.76	0.13
F10	118	LM-4-9D-17-L	LM	4	9D	17	L	7.7	3.3	2.3	1.26		0.656	0.188
B3	140	LT-1-1A-14-E	LT	1	1A	14	E	12.8	4.5	2.9	1.87		2.472	0.527
D4	139	LT-1-1A-15-E	LT	1	1A	15	E	17	5.8	3.3	NA	mouth damaged	3.107	0.73
G3	147	LT-1-1A-16-E	LT	1	1A	16	E	20.6	5	2.9	1.92		3.062	0.595
B8	133	LT-1-1B-1-L	LT	1	1B	1	L	15.3	5.8	3	1.95		2.558	0.5
F7	132	LT-1-1B-2-E	LT	1	1B	2	E	14.4	5.8	3.4	1.76		0.649	0.541
F11	131	LT-1-1B-3-L	LT	1	1B	3	L	17.4	6.5	2.9	2.13		3.244	0.825
E2	130	LT-1-1B-4-L	LT	1	1B	4	L	19.2	6.7	4	2.66	broken mouth	4.572	1.054
B10	142	LT-1-1B-12-E	LT	1	1B	12	E	14.6	5.1	2.8	NA	mouth damaged	2.752	0.566
E10	141	LT-1-1B-13-E	LT	1	1B	13	E	15.1	4.8	2.8	0.93		1.946	0.404
F10	129	LT-1-1C-5-E	LT	1	1C	5	E	18.2	6.7	2.7	1.45	mouth damaged	4.006	0.841
B11	138	LT-1-1C-6-L	LT	1	1C	6	L	17	5.1	2	1.75		2.754	0.697
C11	137	LT-1-1C-7-L	LT	1	1C	7	L	17	5.9	3.2	NA	mouth damaged	3.898	0.855
H7	136	LT-1-1C-8-L	LT	1	1C	8	L	20	7	3.5	1.98		4.429	0.999
D2	135	LT-1-1C-9-L	LT	1	1C	9	L	16.7	5.4	2.7	2.11		3.265	0.666
B7	134	LT-1-1C-10-L	LT	1	1C	10	L	16.3	5.4	3.2	2.2		2.854	0.636
D11	143	LT-1-1C-11-L	LT	1	1C	11	L	14.2	4.5	2	1.53		1.841	0.37
B9	146	LT-1-1C-17-E	LT	1	1C	17	E	16	5.8	3	2.02	broken hood	3.05	0.664
G6	145	LT-2-3A-1-L	LT	2	3A	1	L	16.8	5.5	4	2.27		2.987	0.671
B2	144	LT-2-3A-2-L	LT	2	3A	2	L	18.9	5.9	4	2.68		3.528	0.77
C4	148	LT-2-3A-3-E	LT	2	3A	3	E	14	5.2	3.6	2.02		2.487	0.538
C10	152	LT-2-3A-4-L	LT	2	3A	4	L	18.2	5.8	3.9	2.56		3.232	0.64
D8	151	LT-2-3A-5-E	LT	2	3A	5	E	16.2	6.4	4.7	2.28	missing hood	3.788	0.698
E8	150	LT-2-3A-6-E	LT	2	3A	6	E	16.5	5.9	4.1	2.11		3.279	0.654
C9	149	LT-2-3A-7-L	LT	2	3A	7	L	19.4	5.9	4.1	2.82	hood damaged	3.771	0.809
C5	173	LT-2-3A-8-L	LT	2	3A	8	L	16.8	5.4	3.6	2.12		2.444	0.598
H6	174	LT-2-3A-9-E	LT	2	3A	9	E	15.2	5.6	4	2.56		2.939	0.588
G9	175	LT-2-3B-10-E	LT	2	3B	10	E	17.3	5.5	3.9	2.28	broken keel	3.78	0.762
F9	176	LT-2-3B-11-L	LT	2	3B	11	L	17.8	6.3	3.9	2.6		3.534	0.851
G10	177	LT-2-3B-12-E	LT	2	3B	12	E	14.4	5.2	3.5	2		2.44	0.536
H8	168	LT-2-3B-13-L	LT	2	3B	13	L	16	4.9	2.85	1.71		2.851	0.575
H4	169	LT-2-3B-14-L	LT	2	3B	14	L	16.2	5.8	3.7	2.34		3.002	0.618
F8	170	LT-2-3B-15-E	LT	2	3B	15	E	19.4	7.1	3.5	2.28		5.146	1.187
G11	171	LT-2-3B-16-E	LT	2	3B	16	E	15.4	5.8	3.7	1.85	damaged keel	2.715	0.599
G7	172	LT-3-5A-1-L	LT	3	5A	1	L	14.4	4.7	2.3	1.59		2.615	0.536
H5	163	LT-3-5A-2-E	LT	3	5A	2	E	18.3	5.8	2.85	2.49		3.873	0.827
F4	164	LT-3-5A-3-L	LT	3	5A	3	L	14.4	4.4	3.1	1.9		3.024	0.649
D5	165	LT-3-5A-4-E	LT	3	5A	4	E	11.2	4.2	2.4	1.53		1.623	0.344
D10	166	LT-3-5A-5-E	LT	3	5A	5	E	16.6	6	3.15	2.81		3.893	0.826
E3	167	LT-3-5A-6-E	LT	3	5A	6	E	12.2	3.8	2.35	1.67		1.012	0.283
D6	158	LT-3-5A-7-L	LT	3	5A	7	L	16.25	6.2	3.6	2.74		3.719	0.817
C6	159	LT-3-5A-8-E	LT	3	5A	8	E	15.4	4.7	3.7	2.24		2.595	0.501
E4	160	LT-3-5A-9-L	LT	3	5A	9	L	16	4.6	2.9	2.12		2.472	0.506
D3	161	LT-3-5A-10-E	LT	3	5A	10	E	16.7	5.4	4	1.67	broken mouth	3.607	0.648
D9	162	LT-3-5A-11-E	LT	3	5A	11	E	9.9	3.4	2.3	1.53		0.974	0.187
F5	154	LT-3-5A-12-E	LT	3	5A	12	E	15.9	5.7	4.5	2.15	broken mouth	3.872	0.793
G4	155	LT-3-5A-13-L	LT	3	5A	13	L	16	5.8	2.8	2.46		2.668	0.563
E11	156	LT-3-5A-14-L	LT	3	5A	14	L	15.6	5.3	2	2.72		2.905	0.663
G5	157	LT-3-5A-15-L	LT	3	5A	15	L	11.2	4.4	2.1	1.51		1.55	0.334
F6	153	LT-3-5A-16-L	LT	3	5A	16	L	18.3	6.1	3.4	2.24		4.139	0.83
D7	189	LT-4-6A-1-L	LT	4	6A	1	L	18.8	6.4	4.2	2.83		4.702	1.184
B5	190	LT-4-6A-2-L	LT	4	6A	2	L	20.8	6.8	3.3	2.33		4.797	1.124
E9	191	LT-4-6A-3-L	LT	4	6A	3	L	17.8	5.8	2.2	2.42		3.934	0.97
B4	192	LT-4-6A-4-L	LT	4	6A	4	L	21.5	7.4	3.3	2.36		5.703	1.386
B6	184	LT-4-6A-5-L	LT	4	6A	5	L	21.5	6.7	2.8	2.46		5.376	1.248
E6	185	LT-4-6A-6-E	LT	4	6A	6	E	19	6.3	2.6	1.65	folded mouth	5.295	1.103
C3	186	LT-4-6A-7-E	LT	4	6A	7	E	15.4	5.3	2.6	1.35	broken mouth	2.391	0.475
E7	187	LT-4-6A-8-L	LT	4	6A	8	L	20.2	6.6	2.6	2.64		5.706	1.32
G2	188	LT-4-6A-9-E	LT	4	6A	9	E	17.7	6.3	4.8	2.99		4.684	1.024
F2	179	LT-4-6A-10-E	LT	4	6A	10	E	17.4	6.4	3.2	2.23		4.749	0.992
G8	180	LT-4-6A-11-L	LT	4	6A	11	L	18.7	6.8	3.3	2.51		4.114	1.058
C2	181	LT-4-6A-12-L	LT	4	6A	12	L	17.3	7.2	2.7	2.47	broken mouth	4.802	1.093
E5	182	LT-4-6B-13-E	LT	4	6B	13	E	16.3	6.7	3.8	2.53		0.46	0.905
C7	183	LT-4-6B-14-E	LT	4	6B	14	E	15.8	4.2	3.3	2.17	damaged keel	3.073	0.639
C8	193	LT-4-6B-15-E	LT	4	6B	15	E	12	4.1	2.7	2.01		2.827	0.48
F3	178	LT-4-6B-16-E	LT	4	6B	16	E	16	6.1	3.8	2.16		3.85	0.719
H8	220	LE-1-9A-1-L	LE	1	9A	1	L	21.7	6.2	3.2	2.14		4.123	0.795
H7	221	LE-1-9A-2-L	LE	1	9A	2	L	25.6	7.5	4.5	3.08		6.595	1.278
D9	219	LE-1-9A-3-E	LE	1	9A	3	E	14.5	4.9	2.7	1.39	broken mouth	2.085	0.412
G6	218	LE-1-9A-4-L	LE	1	9A	4	L	17.5	5	2.9	2.01		3.084	0.599
E8	217	LE-1-9A-5-E	LE	1	9A	5	E	14	4	3	1.81		1.755	0.334
F3	226	LE-1-9A-6-L	LE	1	9A	6	L	20.2	5.4	3.6	2.41		3.392	0.65
D2	225	LE-1-9A-7-E	LE	1	9A	7	E	21.2	7	4.8	2.79	broken mouth	5.953	1.009
C6	224	LE-1-9B-8-E	LE	1	9B	8	E	15.7	5	2.9	2.05	broken mouth	3.003	0.531
H5	223	LE-1-9B-9-E	LE	1	9B	9	E	15.7	4	2.6	1.71		2.386	0.414
C7	222	LE-1-9B-10-L	LE	1	9B	10	L	20	6.8	3.6	2.78		4	0.767
E9	230	LE-1-9B-11-E	LE	1	9B	11	E	20.3	6.1	4.3	2.89	broken mouth	4.568	0.747
G4	229	LE-1-9B-12-L	LE	1	9B	12	L	26.4	8.5	5.5	3.66		8.55	1.684
D4	231	LE-1-9B-13-L	LE	1	9B	13	L	19	5.5	3.6	2.74		3.348	0.663
G8	228	LE-1-9B-14-E	LE	1	9B	14	E	16.1	4.3	2.4	2.29		2.504	0.467
G11	227	LE-1-9B-15-L	LE	1	9B	15	L	18.8	5.4	3.8	2.47		3.14	0.602
D6	236	LE-1-9B-16-E	LE	1	9B	16	E	16.4	5.3	3.8	2.16		3.477	0.622
F11	235	LE-2-7B-1-E	LE	2	7B	1	E	19.5	6.1	3.7	2.73		6.138	0.183
F9	234	LE-2-7B-2-E	LE	2	7B	2	E	14.2	5.3	3.5	2.17	broken mouth	2.814	0.545
B8	233	LE-2-7B-3-E	LE	2	7B	3	E	18.5	6.3	3.4	2.55		4.949	0.947
F10	232	LE-2-7B-4-L	LE	2	7B	4	L	17.6	6.2	3.5	2.64		4.121	0.88
F5	241	LE-2-7B-5-E	LE	2	7B	5	E	14	4.6	3.4	1.99	broken mouth	2.133	0.4
B6	240	LE-2-7B-6-L	LE	2	7B	6	L	15.6	4.2	2.4	1.54		1.492	0.289
F4	239	LE-2-7B-7-L	LE	2	7B	7	L	16.1	5	3	2.17		2.648	0.567
C4	238	LE-2-7B-8-L	LE	2	7B	8	L	15	5.3	3	2.1		2.764	0.607
G7	237	LE-2-7C-9-L	LE	2	7C	9	L	20	6.8	4.5	2.64		5.134	1.048
G9	198	LE-2-7C-10-E	LE	2	7C	10	E	18.1	6	3.5	2.04		3.76	0.705
G3	197	LE-2-7C-11-E	LE	2	7C	11	E	18.1	5.5	3.5	2.4		4.226	0.823
B10	196	LE-2-7C-12-L	LE	2	7C	12	L	15.1	5	3.5	2.19		2.376	0.543
B11	195	LE-2-7C-13-E	LE	2	7C	13	E	14.7	4.9	3.2	1.82		1.622	0.331
F2	194	LE-2-7C-14-L	LE	2	7C	14	L	19.1	6	3.3	2.88		4.183	0.942
B5	203	LE-2-7C-15-E	LE	2	7C	15	E	16	5.5	3.7	2.48		3.253	0.679
D8	202	LE-2-7C-16-L	LE	2	7C	16	L	14	3.7	2	1.87		1.697	0.315
E2	201	LE-3-5B-1-E	LE	3	5B	1	E	17.2	5.8	3.9	2.49		3.629	0.772
G5	200	LE-3-5B-2-L	LE	3	5B	2	L	20.2	5.8	3.7	2.64		3.898	0.815
G2	213	LE-3-5B-16-L	LE	3	5B	16	L	18.3	5.9	3.4	2.33		4.03	0.86
C2	199	LE-3-5C-3-E	LE	3	5C	3	E	20.9	6	4	2.81		5.55	1.083
E10	208	LE-3-5C-4-L	LE	3	5C	4	L	21.9	7.2	4.4	2.86		5.983	1.294
C9	207	LE-3-5C-5-L	LE	3	5C	5	L	23	6.7	4	3		6.39	1.303
B7	206	LE-3-5C-6-E	LE	3	5C	6	E	16.3	4.6	3.3	2.35		2.81	0.527
E3	205	LE-3-5C-7-E	LE	3	5C	7	E	17.9	5.3	3.5	2.41		4.157	0.741
D7	204	LE-3-5C-8-E	LE	3	5C	8	E	19.1	5.6	3.3	2.55		4.227	0.847
E6	212	LE-3-5C-9-E	LE	3	5C	9	E	15.5	5.2	2.4	2.04		2.951	0.619
G10	211	LE-3-5C-10-L	LE	3	5C	10	L	21.5	6.3	4	2.975		5.024	1.006
E5	216	LE-3-5C-11-L	LE	3	5C	11	L	24.9	7.3	4.7	3.64		8.2	1.64
D5	215	LE-3-5C-12-E	LE	3	5C	12	E	18	5.6	3.1	2		3.83	0.775
C8	210	LE-3-5C-13-L	LE	3	5C	13	L	20.8	6.7	4.4	3.03		5.952	0.175
F6	214	LE-3-5C-14-L	LE	3	5C	14	L	22.8	7.8	5.1	3.23		7.062	1.423
B4	209	LE-3-5C-15-E	LE	3	5C	15	E	17.5	5.1	3.6	2.22		3.571	0.644
B9	244	LE-4-3-12-L	LE	4	3	12	L	22.2	7.5	4.7	3.1		6.27	1.378
B3	245	LE-4-3-13-E	LE	4	3	13	E	14.1	4.3	3.1	1.82		2.56	0.515
C10	246	LE-4-3-14-L	LE	4	3	14	L	24.5	7.3	4.4	3.23		7.317	1.53
B2	247	LE-4-3-15-L	LE	4	3	15	L	15	4	2.6	1.77		2.312	0.477
E11	253	LE-4-10B-1-L	LE	4	10B	1	L	15.9	5.5	2.8	2.08		2.959	0.595
F7	254	LE-4-10B-2-E	LE	4	10B	2	E	16.7	6	3.5	2.39		3.799	0.715
H6	255	LE-4-10B-3-E	LE	4	10B	3	E	11.7	4.2	2.2	1.31		1.37	0.277
C3	256	LE-4-10B-4-L	LE	4	10B	4	L	15.4	5.2	2.8	2.23		2.195	0.482
D2	257	LE-4-10B-5-E	LE	4	10B	5	E	21	7.1	3.7	3.59		5.527	0.983
F8	248	LE-4-10B-6-E	LE	4	10B	6	E	12.2	4.5	1.7	1.32	 	1.475	0.3
E7	249	LE-4-10B-7-E	LE	4	10B	7	E	13.7	4.2	2.5	1.74		1.83	0.339
E4	250	LE-4-10B-8-L	LE	4	10B	8	L	16.6	5.1	3.4	2.27		3.05	0.522
C5	251	LE-4-10B-9-E	LE	4	10B	9	E	18.3	6.8	3.6	2.72		4.531	0.907
C11	243	LE-4-10B-10-L	LE	4	10B	10	L	13.9	5.4	2.4	1.64		1.916	0.434
D11	252	LE-4-2B-11-E	LE	4	2B	11	E	18.6	5.8	3	2.68		3.548	0.727
D10	242	LE-4-2B-16-L	LE	4	2B	16	L	21.8	7	3.7	2.92		4.952	1.098
