Well plate	ID_sample	FullIDOld	Site	Sector	PlantOld	Leaf	Succession	PitcherLength	KeelWidth	PitcherWidth	MouthWidth	Comments	FreshMass	DryMass
C4	10	CB-1-2-16-E	CB	1	2	16	E	13.7	3.8	2.9	1.72		2.075	0.459
G8	25	CB-1-3-1-L	CB	1	3	1	L	15.6	6.1	3.6	2.43		3.333	0.642
E4	24	CB-1-3-2-L	CB	1	3	2	L	12.8	3.9	2.8	1.71		1.768	0.383
B3	23	CB-1-3-3-E	CB	1	3	3	E	13.6	4.4	3.6	2.02		2.4	0.453
C7	22	CB-1-3-4-L	CB	1	3	4	L	16.9	5.4	3	2.49		3.734	0.78
E10	21	CB-1-3-5-L	CB	1	3	5	L	17	5	3	2.19		2.908	0.645
B9	20	CB-1-3-6-E	CB	1	3	6	E	17.9	5.1	3.5	2.43		3.582	0.768
D6	19	CB-1-3-7-E	CB	1	3	7	E	16.1	5	3.6	2.25		3.055	0.576
E3	18	CB-1-3-8-E	CB	1	3	8	E	18.1	6.3	4.4	2.72		4.475	0.873
B8	17	CB-1-3-9-L	CB	1	3	9	L	11.6	3.6	1.8	1.78		1.283	0.273
C3	16	CB-1-3-10-L	CB	1	3	10	L	17	5.5	4	2.45		3.917	0.786
F4	15	CB-1-3-11-E	CB	1	3	11	E	14.6	4.3	2.4	1.5		1.945	0.391
D5	14	CB-1-3-12-L	CB	1	3	12	L	12.2	3.3	1.8	1.33		1.142	0.228
D8	13	CB-1-3-13-E	CB	1	3	13	E	14.1	4.6	3.6	2.01		2.329	0.422
E7	12	CB-1-3-14-E	CB	1	3	14	E	14	4.9	3.5	2.18		2.956	0.608
H11	11	CB-1-3-15-L	CB	1	3	15	L	17.2	5.5	3.8	2.39		4.054	0.778
B6	46	CB-2-10-1-E	CB	2	10	1	E	11.4	3.8	3.1	1.59		1.701	0.348
D11	47	CB-2-10-2-E	CB	2	10	2	E	11.5	3.9	3.2	1.9		1.626	0.302
G2	48	CB-2-10-3-L	CB	2	10	3	L	15.6	5.1	3.4	2.39		3.196	0.61
G7	49	CB-2-10-4-L	CB	2	10	4	L	12.7	4.4	2.9	2.11		2.521	0.527
F11	50	CB-2-10-5-E	CB	2	10	5	E	12.1	4.3	3.3	1.8		2.27	0.401
C9	41	CB-2-10-6-E	CB	2	10	6	E	13.4	5	3.7	1.85		3.182	0.558
F2	42	CB-2-10-7-L	CB	2	10	7	L	13.5	5.3	3.9	2.07	broken mouth	3.517	0.633
F5	43	CB-2-10-8-L	CB	2	10	8	L	16.9	6.4	3.6	2.44		3.834	0.837
F6	44	CB-2-10-9-L	CB	2	10	9	L	14.7	4.5	3.7	2.25	broken mouth	2.764	0.535
D10	45	CB-2-10-10-E	CB	2	10	10	E	16.9	5.2	4	2.07	broken mouth	4.103	0.763
D7	40	CB-2-10-11-E	CB	2	10	11	E	13	4.5	3.5	1.78		2.444	0.445
C11	39	CB-2-15-12-E	CB	2	15	12	E	12.6	4.6	3.6	1.8		2.208	0.447
E6	38	CB-2-15-13-L	CB	2	15	13	L	18.9	6.1	4.6	2.93		5.158	1.075
F7	35	CB-2-15-14-L	CB	2	15	14	L	15.5	5.2	3.7	2.6		4.117	0.718
F9	36	CB-2-15-15-L	CB	2	15	15	L	16.9	6.5	3.5	2.73		3.948	0.798
F3	37	CB-2-15-16-L	CB	2	15	16	L	17	5.9	4.1	2.17		2.839	0.557
F10	8	CB-3-13-1-E	CB	3	13	1	E	11.7	3.1	1.8	1.24		0.8	0.155
E11	9	CB-3-13-2-E	CB	3	13	2	E	13	4	3	2.21		1.764	0.354
G11	7	CB-3-13-3-L	CB	3	13	3	L	16.9	4.8	3.4	2.62		2.731	0.562
D2	6	CB-3-13-4-L	CB	3	13	4	L	13.7	4.4	2.6	1.66		1.327	0.275
G5	5	CB-3-13-5-E	CB	3	13	5	E	12.7	3.6	2.6	1.7		1.671	0.321
C8	4	CB-3-14_1-6-L	CB	3	14_1	6	L	18.4	5.6	4.1	2.7		4.465	0.969
C10	3	CB-3-14_1-7-E	CB	3	14_1	7	E	14	4.5	2.3	1.32		1.523	0.28
E2	2	CB-3-14_1-8-E	CB	3	14_1	8	E	12.3	4.1	3.3	1.76		1.877	0.38
D9	1	CB-3-14_1-9-E	CB	3	14_1	9	E	13.6	4.5	4	2.35		2.748	0.568
E8	55	CB-3-14_1-10-E	CB	3	14_1	10	E	15.6	5.2	4	2.76		3.491	0.738
D4	54	CB-3-14_1-11-E	CB	3	14_1	11	E	11.4	3.3	2.5	NA	broken mouth	1.557	0.287
E5	53	CB-3-14_1-12-L	CB	3	14_1	12	L	18.6	5.8	4.5	2.89		4.738	0.985
G3	52	CB-3-14_1-13-L	CB	3	14_1	13	L	14.3	4.5	3.4	2.44		2.665	0.541
A4	51	CB-3-14_1-14-L	CB	3	14_1	14	L	18.3	5.8	4.4	2.79		4.384	0.877
G9	60	CB-3-14_1-15-L	CB	3	14_1	15	L	16	5.2	4	2.37		3.347	0.682
B11	59	CB-3-14_2-16-L	CB	3	14_2	16	L	19.4	5.7	3.6	2.39		6.152	1.211
C5	34	CB-4-6-1-L	CB	4	6	1	L	20.4	5.4	4.1	3.12	broken leaves, damaged keel	3.925	0.822
G10	33	CB-4-6-2-L	CB	4	6	2	L	19.1	5.1	3.6	2.52		3.218	0.709
B7	32	CB-4-6-3-E	CB	4	6	3	E	17.3	4.5	3.5	2.44		2.745	0.534
B4	31	CB-4-6-4-L	CB	4	6	4	L	15.2	4.5	3.4	2.26		2.394	0.437
C2	26	CB-4-6-5-E	CB	4	6	5	E	13	3.1	2.9	1.66		1.476	0.272
C6	27	CB-4-6-6-L	CB	4	6	6	L	18.1	5	3.3	2.24		3.039	0.643
D3	28	CB-4-6-7-L	CB	4	6	7	L	17	3.9	3.4	2.09		2.214	0.447
F8	29	CB-4-6-8-L	CB	4	6	8	L	21	5.4	4.3	2.94		4.904	0.976
G4	30	CB-4-6-9-E	CB	4	6	9	E	18.5	4.6	3.5	2.29		3.199	0.633
B10	58	CB-4-6-10-L	CB	4	6	10	L	20.2	5.5	3.9	2.455		4.137	0.871
B2	57	CB-4-6-11-E	CB	4	6	11	E	18.2	4.8	3.8	2.3		3.564	0.688
B5	56	CB-4-7-12-E	CB	4	7	12	E	16	5.1	3.8	2.1		3.245	0.598
G6	61	CB-4-7-13-E	CB	4	7	13	E	18	4.5	3.1	1.56		2.548	0.45
E9	62	CB-4-7-14-L	CB	4	7	14	L	21.8	5.8	3.6	2.21		3.761	0.759
G6	92	LM-1-1-1-E	LM	1	1	1	E	14.6	5.6	3.3	1.78		2.607	0.522
H8	91	LM-1-1-2-E	LM	1	1	2	E	14	5.6	2.45	1.73		1.554	0.377
B4	90	LM-1-1-3-L	LM	1	1	3	L	11.7	4	2.2	1.18		0.947	0.196
F9	89	LM-1-1-4-E	LM	1	1	4	E	15.4	6	3.1	1.57		2.462	0.459
H5	88	LM-1-1-5-L	LM	1	1	5	L	15	5.1	3	1.85		2.803	0.487
E6	97	LM-1-1-6-E	LM	1	1	6	E	12	4.4	2.4	1.41		1.897	0.329
